"","Year","Gear","Area","Type","Value","Stock"
"1",1951,7,1,1,6.153,"Agg"
"2",1952,7,1,1,6.153,"Agg"
"3",1953,7,1,1,6.153,"Agg"
"4",1954,7,1,1,6.153,"Agg"
"5",1955,7,1,1,6.153,"Agg"
"6",1956,7,1,1,6.153,"Agg"
"7",1957,7,1,1,6.153,"Agg"
"8",1958,7,1,1,6.153,"Agg"
"9",1959,7,1,1,6.153,"Agg"
"10",1960,7,1,1,6.153,"Agg"
"11",1961,7,1,1,6.153,"Agg"
"12",1962,7,1,1,6.153,"Agg"
"13",1963,7,1,1,6.153,"Agg"
"14",1964,7,1,1,6.153,"Agg"
"15",1965,7,1,1,6.153,"Agg"
"16",1966,7,1,1,3.069,"Agg"
"17",1967,7,1,1,2.712,"Agg"
"18",1968,7,1,1,2.324,"Agg"
"19",1969,7,1,1,2.298,"Agg"
"20",1970,7,1,1,2.455,"Agg"
"21",1971,7,1,1,2.443,"Agg"
"22",1972,7,1,1,3.018,"Agg"
"23",1973,7,1,1,3.677,"Agg"
"24",1974,7,1,1,3.34,"Agg"
"25",1975,7,1,1,5.914,"Agg"
"26",1976,7,1,1,7.009,"Agg"
"27",1977,7,1,1,5.136,"Agg"
"28",1978,7,1,1,5.638,"Agg"
"29",1979,7,1,1,5.865,"Agg"
"30",1980,7,1,1,4.914,"Agg"
"31",1981,7,1,1,4.199,"Agg"
"32",1982,7,1,1,4.444,"Agg"
"33",1983,7,1,1,5.003,"Agg"
"34",1984,7,1,1,4.582,"Agg"
"35",1985,7,1,1,8.515,"Agg"
"36",1986,7,1,1,8.648,"Agg"
"37",1987,7,1,1,6.477,"Agg"
"38",1988,7,1,1,5.684,"Agg"
"39",1989,7,1,1,7.516,"Agg"
"40",1990,7,1,1,8.679,"Agg"
"41",1991,7,1,1,6.258,"Agg"
"42",1992,7,1,1,5.562,"Agg"
"43",1993,7,1,1,4.488,"Agg"
"44",1994,7,1,1,4.245,"Agg"
"45",1995,7,1,1,1.849,"Agg"
"46",1996,7,1,1,2.839,"Agg"
